index,Name,Date,Open,High,Low,Close,Adj Close,Volume
28,Nifty,2022-07-11,16136.150391,16248.549805,16115.5,16216.0,16216.0,255900
28,Bank Nifty,2022-08-11,38712.949219,38932.101563,38648.898438,38879.851563,38879.398438,200900.0
28,Fin Nifty,2022-07-11,16217.650391,16403.900391,16211.5,16365.599609,16365.599609,589800.0
29,Nifty,2022-07-12,16126.200195,16158.75,16031.150391,16058.299805,16058.299805,208600
29,Bank Nifty,2022-08-12,38942.449219,39088.898438,38739.949219,39042.300781,39041.847656,125300.0
29,Fin Nifty,2022-07-12,16282.75,16306.400391,16168.150391,16200.599609,16200.599609,474100.0
30,Nifty,2022-07-13,16128.200195,16140.0,15950.150391,15966.650391,15966.650391,233300
30,Bank Nifty,2022-08-16,39284.101563,39444.601563,39119.898438,39239.648438,39239.191406,0.0
30,Fin Nifty,2022-07-13,16260.650391,16291.599609,16025.950195,16043.849609,16043.849609,536500.0
31,Nifty,2022-07-14,16018.849609,16070.849609,15858.200195,15938.650391,15938.650391,228600
31,Bank Nifty,2022-08-17,39351.300781,39504.5,39202.800781,39461.699219,39461.242188,169800.0
31,Fin Nifty,2022-07-14,16065.599609,16165.900391,15950.650391,15998.75,15998.75,531200.0
32,Nifty,2022-07-15,16010.799805,16066.950195,15927.299805,16049.200195,16049.200195,205800
32,Bank Nifty,2022-08-18,39324.398438,39703.699219,39291.148438,39656.148438,39655.6875,137200.0
32,Fin Nifty,2022-07-15,16035.799805,16128.799805,15976.099609,16112.75,16112.75,427500.0
33,Nifty,2022-07-18,16151.400391,16287.950195,16142.200195,16278.5,16278.5,227700
33,Bank Nifty,2022-08-19,39732.648438,39759.148438,38848.398438,38985.949219,38985.496094,148100.0
33,Fin Nifty,2022-07-18,16164.25,16351.599609,16120.0,16341.450195,16341.450195,650100.0
34,Nifty,2022-07-19,16187.049805,16359.5,16187.049805,16340.549805,16340.549805,222600
34,Bank Nifty,2022-08-22,38693.648438,38732.851563,38247.25,38297.75,38297.304688,124300.0
34,Fin Nifty,2022-07-19,16248.049805,16458.75,16246.099609,16436.199219,16436.199219,686900.0
35,Nifty,2022-07-20,16562.800781,16588.0,16490.949219,16520.849609,16520.849609,284400
35,Bank Nifty,2022-08-23,37955.449219,38869.898438,37950.851563,38697.648438,38697.199219,176400.0
35,Fin Nifty,2022-07-20,16593.25,16617.849609,16487.900391,16530.099609,16530.099609,827000.0
36,Nifty,2022-07-21,16523.550781,16626.949219,16483.900391,16605.25,16605.25,243600
36,Bank Nifty,2022-08-24,38552.699219,39120.800781,38552.199219,39038.5,39038.046875,214900.0
36,Fin Nifty,2022-07-21,16531.050781,16631.150391,16466.349609,16600.5,16600.5,631700.0
37,Nifty,2022-07-22,16661.25,16752.25,16610.900391,16719.449219,16719.449219,190900
37,Bank Nifty,2022-08-25,39190.050781,39471.75,38803.699219,38950.75,38950.296875,333400.0
37,Fin Nifty,2022-07-22,16663.449219,16897.050781,16643.349609,16858.550781,16858.550781,655800.0
38,Nifty,2022-07-25,16662.550781,16706.050781,16564.25,16631.0,16631.0,211400
38,Bank Nifty,2022-08-26,39129.648438,39337.101563,38846.800781,38987.148438,38986.695313,196300.0
38,Fin Nifty,2022-07-25,16855.800781,16964.349609,16738.25,16837.550781,16837.550781,642500.0
39,Nifty,2022-07-26,16632.900391,16636.099609,16463.300781,16483.849609,16483.849609,208200
39,Bank Nifty,2022-08-29,38111.601563,38397.101563,37943.851563,38276.699219,38276.253906,158000.0
39,Fin Nifty,2022-07-26,16850.400391,16855.300781,16697.849609,16734.099609,16734.099609,623300.0
40,Nifty,2022-07-27,16475.349609,16653.449219,16438.75,16641.800781,16641.800781,185200
40,Bank Nifty,2022-08-30,38516.949219,39606.550781,38472.699219,39536.75,39536.289063,176800.0
40,Fin Nifty,2022-07-27,16717.699219,16891.849609,16661.550781,16880.300781,16880.300781,656800.0
41,Nifty,2022-07-28,16774.849609,16947.650391,16746.25,16929.599609,16929.599609,376300
41,Bank Nifty,2022-09-01,38806.699219,39667.648438,38803.300781,39301.25,39300.792969,191200.0
41,Fin Nifty,2022-07-28,17022.5,17310.400391,16998.25,17280.0,17280.0,824900.0
42,Nifty,2022-07-29,17079.5,17172.800781,17018.150391,17158.25,17158.25,436100
42,Bank Nifty,2022-09-02,39422.300781,39595.851563,39200.449219,39421.0,39420.542969,133900.0
42,Fin Nifty,2022-07-29,17470.75,17506.849609,17290.400391,17437.800781,17437.800781,922400.0
43,Nifty,2022-08-01,17243.199219,17356.25,17154.800781,17340.050781,17340.050781,381500
43,Bank Nifty,2022-09-05,39412.050781,39865.199219,39407.398438,39805.75,39805.289063,214100.0
43,Fin Nifty,2022-08-01,17512.550781,17602.449219,17414.0,17584.199219,17584.199219,596800.0
44,Nifty,2022-08-02,17310.150391,17390.150391,17215.849609,17345.449219,17345.449219,333600
44,Bank Nifty,2022-09-06,39892.949219,40073.75,39564.300781,39666.5,39666.039063,210200.0
44,Fin Nifty,2022-08-02,17518.5,17595.849609,17385.949219,17538.800781,17538.800781,726400.0
45,Nifty,2022-08-03,17349.25,17407.5,17225.849609,17388.150391,17388.150391,285400
45,Bank Nifty,2022-09-07,39337.75,39572.050781,39258.25,39455.898438,39455.441406,138900.0
45,Fin Nifty,2022-08-03,17513.199219,17574.550781,17375.550781,17551.699219,17551.699219,770800.0
46,Nifty,2022-08-04,17463.099609,17490.699219,17161.25,17382.0,17382.0,325000
46,Bank Nifty,2022-09-08,39763.898438,40265.75,39706.398438,40208.949219,40208.480469,203800.0
46,Fin Nifty,2022-08-04,17613.150391,17641.75,17245.75,17472.050781,17472.050781,655900.0
47,Nifty,2022-08-05,17423.650391,17474.400391,17348.75,17397.5,17397.5,355300
47,Bank Nifty,2022-09-09,40520.75,40685.949219,40280.300781,40415.699219,40415.230469,207000.0
47,Fin Nifty,2022-08-05,17515.699219,17616.949219,17466.199219,17534.550781,17534.550781,767700.0
48,Nifty,2022-08-08,17401.5,17548.800781,17359.75,17525.099609,17525.099609,257000
48,Bank Nifty,2022-09-12,40540.449219,40684.898438,40377.898438,40574.0,40573.527344,147000.0
48,Fin Nifty,2022-08-08,17519.800781,17729.449219,17440.650391,17697.599609,17697.599609,837500.0
49,Nifty,2022-08-10,17566.099609,17566.099609,17442.800781,17534.75,17534.75,312700
49,Bank Nifty,2022-09-13,40802.101563,40904.300781,40693.949219,40873.101563,40872.625,176400.0
49,Fin Nifty,2022-08-10,17741.150391,17764.900391,17643.849609,17699.099609,17699.099609,823200.0
50,Nifty,2022-08-11,17711.650391,17719.300781,17631.949219,17659.0,17659.0,311200
50,Bank Nifty,2022-09-14,40308.800781,41626.898438,40288.898438,41405.398438,41404.917969,218400.0
50,Fin Nifty,2022-08-11,17898.699219,17998.5,17858.300781,17977.400391,17977.400391,853400.0
51,Nifty,2022-08-12,17659.650391,17724.650391,17597.849609,17698.150391,17698.150391,303900
51,Bank Nifty,2022-09-15,41533.699219,41840.148438,41153.5,41209.199219,41208.71875,245300.0
51,Fin Nifty,2022-08-12,17993.0,18075.349609,17918.949219,18055.150391,18055.150391,629500.0
52,Nifty,2022-08-16,17797.199219,17839.099609,17764.050781,17825.25,17825.25,0
52,Bank Nifty,2022-09-16,40977.199219,41162.5,40502.050781,40776.800781,40776.328125,244200.0
52,Fin Nifty,2022-08-16,18152.349609,18243.550781,18122.599609,18191.349609,18191.349609,0.0
53,Nifty,2022-08-17,17868.150391,17965.949219,17833.349609,17944.25,17944.25,262800
53,Bank Nifty,2022-09-19,40685.601563,41184.25,40509.898438,40904.398438,40903.921875,206000.0
53,Fin Nifty,2022-08-17,18230.150391,18374.5,18144.25,18348.25,18348.25,873900.0
54,Nifty,2022-08-18,17898.650391,17968.449219,17852.050781,17956.5,17956.5,263900
54,Bank Nifty,2022-09-20,41304.148438,41677.648438,41207.300781,41468.300781,41467.820313,175200.0
54,Fin Nifty,2022-08-18,18287.0,18427.349609,18272.949219,18406.050781,18406.050781,745500.0
55,Nifty,2022-08-19,17966.550781,17992.199219,17710.75,17758.449219,17758.449219,295600
55,Bank Nifty,2022-09-21,41282.601563,41501.699219,40889.148438,41203.449219,41202.96875,151300.0
55,Fin Nifty,2022-08-19,18425.050781,18450.199219,18064.699219,18114.900391,18114.900391,670700.0
