,Date,Open,High,Low,Close,Adj Close,Volume
,Date,Open,High,Low,Close,Adj Close,Volume
44,2022-09-06,39892.949219,40073.75,39564.300781,39666.5,39666.039063,210200.0
45,2022-08-03,17349.25,17407.5,17225.849609,17388.150391,17388.150391,285400
45,2022-09-07,39337.75,39572.050781,39258.25,39455.898438,39455.441406,138900.0
46,2022-08-04,17463.099609,17490.699219,17161.25,17382.0,17382.0,325000
46,2022-09-08,39763.898438,40265.75,39706.398438,40208.949219,40208.480469,203800.0
47,2022-08-05,17423.650391,17474.400391,17348.75,17397.5,17397.5,355300
47,2022-09-09,40520.75,40685.949219,40280.300781,40415.699219,40415.230469,207000.0
48,2022-08-08,17401.5,17548.800781,17359.75,17525.099609,17525.099609,257000
48,2022-09-12,40540.449219,40684.898438,40377.898438,40574.0,40573.527344,147000.0
49,2022-08-10,17566.099609,17566.099609,17442.800781,17534.75,17534.75,312700
49,2022-09-13,40802.101563,40904.300781,40693.949219,40873.101563,40872.625,176400.0
50,2022-08-11,17711.650391,17719.300781,17631.949219,17659.0,17659.0,311200
50,2022-09-14,40308.800781,41626.898438,40288.898438,41405.398438,41404.917969,218400.0
51,2022-08-12,17659.650391,17724.650391,17597.849609,17698.150391,17698.150391,303900
51,2022-09-15,41533.699219,41840.148438,41153.5,41209.199219,41208.71875,245300.0
52,2022-08-16,17797.199219,17839.099609,17764.050781,17825.25,17825.25,0
52,2022-09-16,40977.199219,41162.5,40502.050781,40776.800781,40776.328125,244200.0
53,2022-08-17,17868.150391,17965.949219,17833.349609,17944.25,17944.25,262800
53,2022-09-19,40685.601563,41184.25,40509.898438,40904.398438,40903.921875,206000.0
54,2022-08-18,17898.650391,17968.449219,17852.050781,17956.5,17956.5,263900
54,2022-09-20,41304.148438,41677.648438,41207.300781,41468.300781,41467.820313,175200.0
55,2022-08-19,17966.550781,17992.199219,17710.75,17758.449219,17758.449219,295600
55,2022-09-21,41282.601563,41501.699219,40889.148438,41203.449219,41202.96875,151300.0
56,2022-08-22,17682.900391,17690.050781,17467.349609,17490.699219,17490.699219,287600
56,2022-09-22,40889.050781,41159.199219,40360.199219,40630.601563,40630.128906,209500.0
57,2022-08-23,17357.349609,17625.550781,17345.199219,17577.5,17577.5,285600
57,2022-09-23,40429.351563,40528.398438,39412.699219,39546.25,39545.789063,226200.0
58,2022-08-24,17525.449219,17623.650391,17499.25,17604.949219,17604.949219,262000
58,2022-09-26,39027.851563,39229.398438,38492.199219,38616.25,38615.800781,241800.0
59,2022-08-25,17679.0,17726.5,17487.449219,17522.449219,17522.449219,230200
59,2022-09-27,38811.699219,39050.5,38184.898438,38359.148438,38358.703125,168700.0
60,2022-08-26,17619.300781,17685.849609,17519.349609,17558.900391,17558.900391,266600
60,2022-09-28,38081.25,38368.800781,37626.199219,37759.851563,37759.414063,210600.0
61,2022-08-29,17188.650391,17380.150391,17166.199219,17312.900391,17312.900391,244900
61,2022-09-29,38092.851563,38283.398438,37536.648438,37647.75,37647.3125,253000.0
62,2022-08-30,17414.949219,17777.650391,17401.5,17759.300781,17759.300781,324700
62,2022-09-30,37660.0,38811.0,37386.351563,38631.949219,38631.5,246100.0
63,2022-09-01,17485.699219,17695.599609,17468.449219,17542.800781,17542.800781,308500
63,2022-10-03,38444.898438,38641.601563,37963.25,38029.648438,38029.207031,172900.0
64,2022-09-02,17598.400391,17643.849609,17476.449219,17539.449219,17539.449219,256300
64,2022-10-04,38700.398438,39177.5,38596.898438,39110.050781,39109.597656,241100.0
65,2022-09-05,17546.449219,17683.150391,17540.349609,17665.800781,17665.800781,230300
65,2022-10-06,39343.699219,39608.351563,39232.898438,39282.851563,39282.394531,158800.0
66,2022-09-06,17695.699219,17764.650391,17587.650391,17655.599609,17655.599609,251200
66,2022-10-07,39093.5,39235.050781,38807.5,39178.050781,39177.59375,165000.0
67,2022-09-07,17519.400391,17650.75,17484.300781,17624.400391,17624.400391,354100
67,2022-10-10,38641.550781,39315.699219,38518.300781,39093.101563,39092.648438,159700.0
68,2022-09-08,17748.150391,17807.650391,17691.949219,17798.75,17798.75,279800
68,2022-10-11,39058.851563,39174.949219,38622.75,38712.449219,38712.0,177600.0
69,2022-09-09,17923.349609,17925.949219,17786.0,17833.349609,17833.349609,270300
69,2022-10-12,38784.199219,39164.101563,38606.398438,39118.550781,39118.097656,195800.0
70,2022-09-12,17890.849609,17980.550781,17889.150391,17936.349609,17936.349609,228200
70,2022-10-13,38957.648438,39061.300781,38437.949219,38624.0,38623.550781,158900.0
71,2022-09-13,18044.449219,18088.300781,18015.449219,18070.050781,18070.050781,259900
71,2022-10-14,39446.050781,39570.851563,39196.300781,39305.601563,39305.144531,185600.0
72,2022-09-14,17771.150391,18091.550781,17771.150391,18003.75,18003.75,365900
72,2022-10-17,39295.601563,39974.699219,39146.699219,39920.449219,39919.984375,201600.0
73,2022-09-15,18046.349609,18096.150391,17861.5,17877.400391,17877.400391,289600
73,2022-10-18,40252.050781,40435.351563,40139.851563,40318.75,40318.28125,245200.0
74,2022-09-16,17796.800781,17820.050781,17497.25,17530.849609,17530.849609,468500
74,2022-10-19,40556.648438,40643.601563,40195.199219,40373.199219,40372.730469,232900.0
75,2022-09-19,17540.650391,17667.199219,17429.699219,17622.25,17622.25,258300
75,2022-10-20,40149.5,40208.351563,39848.851563,40099.550781,40099.085938,262800.0
76,2022-09-20,17770.400391,17919.300781,17744.400391,17816.25,17816.25,263100
76,2022-10-21,40370.75,41032.25,40355.449219,40784.050781,40783.578125,324200.0
77,2022-09-21,17766.349609,17838.699219,17663.599609,17718.349609,17718.349609,245500
77,2022-10-24,41348.351563,41427.25,41201.148438,41304.898438,41304.417969,74300.0
78,2022-09-22,17609.650391,17722.75,17532.449219,17629.800781,17629.800781,284100
78,2022-10-25,41513.648438,41530.648438,41021.449219,41122.75,41122.273438,351800.0
79,2022-09-23,17593.849609,17642.150391,17291.650391,17327.349609,17327.349609,390800
